cust_id, order_id, order_total, pay_type, order_dt, currency, transaction_status
A-100, O-100, 10.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-101, O-101, 11.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-102, O-102, 12.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-103, O-103, 13.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-104, O-104, 14.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-105, O-105, 15.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-106, O-106, 16.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-107, O-107, 17.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-108, O-108, 18.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-109, O-109, 19.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-110, O-110, 20.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-111, O-111, 21.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-112, O-112, 22.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-113, O-113, 23.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-114, O-114, 24.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-115, O-115, 25.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-116, O-116, 26.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-117, O-117, 27.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-118, O-118, 28.50, upi, 2026-08-23T08:00:00Z, usd, completed
A-119, O-119, 29.50, upi, 2026-08-23T08:00:00Z, usd, completed
